MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
Gurkha,Action,4.7,Sam Anton,Yogi Babu,194,2019,5,8,5.9
Vennila Kabaddi Kuzhu 2,Action,5.1,Selva Sekaran,Appukutty,89,2019,9,9,7.7
Bodhai Yeri Budhi Maari,Drama,6.6,Chandru,Charlie,43,2019,6,9,7.2
Kalavani 2,Comedy,4,A. Sarkunam,Vimal,68,2019,5,10,6.333333333
Raatchasi,Drama,7.3,Sy Gowthamraj,Jyotika,729,2019,10,9,8.766666667
Jiivi,Drama,7.9,V.J. Gopinath,Vetri,997,2019,5,9,7.3
Dharma Prabhu,Drama,4.6,S. Muthukumaran,Yogi Babu,153,2019,8,8,6.866666667
House Owner,Drama,6.4,Lakshmi Ramakrishnan,Lovelyn Chandrasekhar,100,2019,5,7,6.133333333
Sindhubaadh,Action,5.1,S.U. Arun Kumar,Vijay Sethupathi,311,2019,9,8,7.366666667
Thumbaa,Adventure,5.8,Harish Ram L.H.,Kpy Bala,57,2019,8,9,7.6
Game Over,Drama,7.1,Ashwin Saravanan,Taapsee Pannu,5370,2019,9,9,8.366666667
Kolaigaran,Action,7.1,Andrew Louis,Vijay Antony,1080,2019,10,9,8.7
NGK,Action,6,K. Selvaraghavan,Suriya,3093,2019,9,9,8
Devi 2,Comedy,3.8,A.L. Vijay,Prabhu Deva,269,2019,5,7,5.266666667
Neeya 2,Horror,3,Suresh,Jai,78,2019,9,7,6.333333333
Ayogya,Action,6.1,Venkat Mohan,Vishal,824,2019,8,9,7.7
Kee,Action,5.1,Kalees,Jiiva,566,2019,7,8,6.7
K-13,Action,6.1,Barath Neelakantan,Arulnithi,359,2019,8,6,6.7
Mr. Local,Action,3.1,M. Rajesh,Sivakarthikeyan,750,2019,9,8,6.7
100,Action,6.5,Sam Anton,Atharvaa Murali,809,2019,5,9,6.833333333
Vellai Pookal,Crime,7.2,Vivek Elangovan,Vivek,1229,2019,4,9,6.733333333
Mehandi Circus,Drama,7.5,Raju Saravanan,Madhampatty Rangaraj,343,2019,7,8,7.5
Kanchana 3,Action,4.2,Lawrence Raghavendra,Lawrence Raghavendra,1031,2019,8,8,6.733333333
Watchman,Thriller,5.1,A.L. Vijay,G.V. Prakash Kumar,234,2019,9,8,7.366666667
Gangs Of Madras,Action,5.5,C.V. Kumar,Daniel Balaji,4541,2019,8,9,7.5
Uriyadi 2,Action,7.2,Vijay Kumar,Vijay Kumar,622,2019,7,9,7.733333333
Kuppathu Raja,Comedy,4.9,Baba Bhaskar,G.V. Prakash Kumar,105,2019,9,8,7.3
Natpe Thunai,Comedy,6.5,Parthiban Desingu,Hiphop Tamizha Adhi,671,2019,9,8,7.833333333
Super Deluxe,Action,8.4,Thiagarajan Kumararaja,Vijay Sethupathi,7412,2019,7,8,7.8
Airaa,Drama,4.6,Sarjun,Nayanthara,548,2019,10,8,7.533333333
Agni Devi,Crime,5.3,Jpr,Sathish Krishnan,66,2019,9,8,7.433333333
Nedunalvaadai,Drama,7.3,Selvakannan,Elvis Alexander,33890,2019,8,7,7.433333333
Ispade Rajavum Idhaya Raniyum,Drama,6.5,Ranjit Jeyakodi,Harish Kalyan,367,2019,7,7,6.833333333
Sathru,Thriller,6,Naveen Nanjundan,Master Ajithesh,219,2019,5,7,6
Boomerang,Action,5.6,R. Kannan,Atharvaa Murali,356,2019,7,6,6.2
Thadam,Action,8.2,Magizh Thirumeni,Arun Vijay,3728,2019,8,6,7.4
90 ML,Comedy,3.3,Anita Udeep,Oviya,449,2019,9,8,6.766666667
LKG,Comedy,6.9,Prabhu,RJ Balaji,983,2019,8,9,7.966666667
Vantha Rajavathaan Varuven,Action,3.7,Sundar C.,T.R. Silambarasan,500,2019,9,8,6.9
Dhilluku Dhuddu 2,Comedy,5.3,Rambala,Santhanam,497,2019,7,9,7.1
Dev,Action,4.8,Rajath Ravishankar,Karthi,724,2019,5,8,5.933333333
Charlie Chaplin 2,Comedy,3.8,Sakthi Chidambaram,Prabhu Deva,215,2019,4,7,4.933333333
Petta,Action,7.3,Karthik Subbaraj,Rajinikanth,7545,2019,8,8,7.766666667
Viswasam,Action,6.7,Siva,Ajith Kumar,5907,2019,8,9,7.9
